,loss,score_accuracy,score_distance,val_loss,val_score_accuracy,val_score_distance
29,0.011434718035161495,0.9867138862609863,0.015943313017487526,1.5404433012008667,0.38869258761405945,0.9081271886825562
30,0.010890991427004337,0.9867138862609863,0.017714790999889374,1.5880377292633057,0.42756184935569763,0.8939929604530334
31,0.013436032459139824,0.9884853959083557,0.015057573094964027,1.5935604572296143,0.42402827739715576,0.8939929604530334
32,0.03081945702433586,0.9539415240287781,0.05137289687991142,1.50519859790802,0.4310953915119171,0.9469964504241943
33,0.0446675606071949,0.9388839602470398,0.0673162117600441,1.4590106010437012,0.43816253542900085,0.8869258165359497
34,0.04247550666332245,0.9344552755355835,0.0699734315276146,1.3799760341644287,0.434628963470459,0.8975265026092529
35,0.05150356888771057,0.9273693561553955,0.08060230314731598,1.3803980350494385,0.41342756152153015,0.8763250708580017
36,0.024998415261507034,0.9689990878105164,0.03454384580254555,1.4621659517288208,0.4310953915119171,0.8904593586921692
37,0.014187689870595932,0.9849424362182617,0.01948627084493637,1.5455323457717896,0.416961133480072,0.8763250708580017
38,0.012472190894186497,0.989371120929718,0.015057573094964027,1.651296854019165,0.4310953915119171,0.9045936465263367
39,0.010900905355811119,0.9902568459510803,0.013286094181239605,1.6630570888519287,0.4452296793460846,0.8586572408676147
40,0.009791986085474491,0.9902568459510803,0.012400354258716106,1.72221040725708,0.4452296793460846,0.879858672618866
41,0.00945603009313345,0.9911426305770874,0.012400354258716106,1.7389123439788818,0.43816253542900085,0.8727915287017822
42,0.008210595697164536,0.9920283555984497,0.010628875344991684,1.7660071849822998,0.4452296793460846,0.8727915287017822
43,0.00821839738637209,0.9911426305770874,0.011514614336192608,1.810906171798706,0.4452296793460846,0.8586572408676147
44,0.00843362882733345,0.9920283555984497,0.011514614336192608,1.8377374410629272,0.4204947054386139,0.9010600447654724
45,0.00885915756225586,0.9920283555984497,0.011514614336192608,1.8610002994537354,0.4204947054386139,0.8975265026092529
46,0.008448339067399502,0.9920283555984497,0.011514614336192608,1.8621479272842407,0.41342756152153015,0.9081271886825562
47,0.009784047491848469,0.9902568459510803,0.012400354258716106,1.88707435131073,0.42756184935569763,0.8833922147750854
48,0.008393832482397556,0.9911426305770874,0.011514614336192608,1.9052510261535645,0.4558303952217102,0.8621907830238342
49,0.007610767148435116,0.9902568459510803,0.012400354258716106,1.9572604894638062,0.42756184935569763,0.8833922147750854
