,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
288,Osoby prywatnej,Motocykle,Honda,GL,1990,99 km,1 520 cm3,74 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Biały,,,,,Stany Zjednoczone,,Używane,lub1p24,,Perłowy,,,25/05/2017,,,,,,
289,Osoby prywatnej,Motocykle,Kawasaki,Ninja 300 ABS,2019,10 800 km,299 cm3,25 KM,Łańcuch,Dwusuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,,Szwajcaria,,Używane,ne22536,,Metalik,Tak,,,,,Tak,,,
290,Osoby prywatnej,Motocykle,BMW,GS,2008,64 000 km,798 cm3,71 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,Tak,Używane,RJA V28X,,Metalik,,Tak,12/09/2008,,,,,,
291,Firmy,Motocykle,Yamaha,V Star,2006,27 792 km,1 100 cm3,,,,Benzyna,,Cruiser,Czarny,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
292,Firmy,Motocykle,Yamaha,V Star,2008,21 613 km,1 100 cm3,,,,Benzyna,,Cruiser,Beżowy,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
293,Firmy,Motocykle,Yamaha,V Star,2008,28 530 km,1 100 cm3,,Wał kardana,,Benzyna,,Cruiser,Beżowy,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
294,Firmy,Motocykle,Yamaha,Royal Star,2005,35 213 km,1 300 cm3,,Wał kardana,,Benzyna,Manualna,Cruiser,Czarny,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
295,Firmy,Motocykle,Suzuki,VL 1500 Intruder LC - Boulevard C90,2009,25 038 km,1 500 cm3,,Wał kardana,,Benzyna,,Cruiser,Czarny,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
296,Firmy,Motocykle,Honda,GL,2004,111 376 km,1 800 cm3,,,,Benzyna,,Turystyczny,Czerwony,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
297,Firmy,Motocykle,Yamaha,Raider,2009,36 531 km,1 900 cm3,,,,Benzyna,,Cruiser,Bordowy,,,,,Stany Zjednoczone,Tak,Używane,,,,,,,,,,,,
298,Firmy,Motocykle,Honda,VTX,2007,41 268 km,,,Wał kardana,,Benzyna,,Cruiser,Bordowy,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
299,Firmy,Motocykle,Yamaha,V Star,2007,39 497 km,650 cm3,,,,Benzyna,,Cruiser,Biały,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
300,Firmy,Motocykle,Yamaha,V Star,2004,42 685 km,1 100 cm3,,,,Benzyna,,Cruiser,Biały,,,,,Kanada,Tak,Używane,,,,,,,,,,,,
301,Osoby prywatnej,Motocykle,Yamaha,FZR,2004,47 700 km,600 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,Tak,Używane,,,Perłowy,,Tak,,,,,,,
302,Osoby prywatnej,Motocykle,KTM,Duke,2013,22 670 km,373 cm3,43 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,,Tak,Używane,LU724S,,,Tak,Tak,,,,,,,
303,Osoby prywatnej,Motocykle,BMW,S,2020,5 500 km,,,,,Benzyna,,Sportowy,Biały,,,,,Polska,,Używane,,Tak,,Tak,Tak,,,,,05/03/2025,,
304,Osoby prywatnej,Motocykle,Linhai,300,2017,1 780 km,275 cm3,20 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Quad,Biały,,,,,Polska,Tak,Używane,SK652K,Tak,Metalik,Tak,Tak,24/10/2017,,,,,,
305,Firmy,Motocykle,Suzuki,Bandit,2004,48 000 km,1 200 cm3,98 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Zielony,Tak,,,,Francja,,Używane,,,Metalik,,,,,,Tak,,,
306,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,1995,7 189 km,1 200 cm3,,,Czterosuwowy,Benzyna,,Chopper,Niebieski,,,,,Stany Zjednoczone,Tak,Używane,,,Metalik,,Tak,,,,,,,
307,Firmy,Motocykle,Honda,CBF,2006,24 000 km,998 cm3,98 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,Tak,,,,Niemcy,Tak,Używane,,,Perłowy,,,,,,Tak,,,
308,Osoby prywatnej,Motocykle,Yamaha,XT,2002,9 653 km,595 cm3,39 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Niebieski,,,,,,,Używane,,,,,Tak,31/03/2003,,,,,,
309,Osoby prywatnej,Motocykle,BMW,RT,2012,122 000 km,1 200 cm3,,Wał kardana,Czterosuwowy,Benzyna,,Turystyczny,Czarny,,,,,,Tak,Używane,,Tak,,,Tak,,,,,,,
310,Firmy,Motocykle,Barton,Inny,2022,1 km,125 cm3,10 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Żółty,Tak,Tak,,24 miesięcy,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
311,Osoby prywatnej,Motocykle,KTM,SXF,2019,72 km,450 cm3,,,Czterosuwowy,Benzyna,,Krosowy,Czarny,,,,,,Tak,Używane,,,,,,,,,,,,
