,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
5216,Firmy,Motocykle,Yamaha,Tricity,2021,1 km,300 cm3,26 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,Tak,,,Tak,Nowe,41500,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
5217,Firmy,Motocykle,CF Moto,Allroad,2022,1 km,500 cm3,42 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Brązowy,Tak,Tak,,,Tak,Nowe,34500,,,,,,,24 miesięcy,,,,,,,,,,,
5218,Firmy,Motocykle,KTM,SX,2022,1 km,449 cm3,63 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Inny kolor,Tak,Tak,,,Tak,Nowe,53800,,,,,,,,,,,,,,,,,,
5219,Firmy,Motocykle,Ducati,Scrambler,2022,1 km,803 cm3,75 KM,Łańcuch,,Benzyna,,Naked,Żółty,Tak,Tak,Tak,,Tak,Nowe,46500,,,,,,,48 miesięcy,,,,,,,,,,,
5220,Firmy,Motocykle,Ducati,Scrambler,2022,1 km,803 cm3,75 KM,Łańcuch,,Benzyna,,Naked,Czarny,Tak,Tak,Tak,,Tak,Nowe,44500,,,,,,,48 miesięcy,,,,,,,,,,,
5221,Firmy,Motocykle,Ducati,Scrambler,2022,1 km,803 cm3,73 KM,Łańcuch,,Benzyna,Manualna,Naked,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,55900,,,,,,,48 miesięcy,,,,,,,,,,,
5222,Firmy,Motocykle,Kawasaki,ZL,1987,40 790 km,600 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,,,,Tak,Używane,9900,,,Metalik,,,,,,Tak,,,,,,,,,
5223,Firmy,Motocykle,CF Moto,Allroad,2021,1 km,850 cm3,64 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,,,Tak,Nowe,53900,,,,,,,24 miesięcy,,,,,,,,,,,
5224,Firmy,Motocykle,Moto Guzzi,V9,2017,18 832 km,900 cm3,55 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Inny kolor,Tak,,,Włochy,Tak,Używane,33500,,,Metalik,04/10/2017,Tak,Tak,3 miesięcy,,Tak,,,,,,,,,
5225,Osoby prywatnej,Motocykle,Honda,XR,1998,14 000 km,400 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Czerwony,,,,Niemcy,,Używane,10900,LU272G,Tak,Matowy,,,,,,,,,,,,,,,
5226,Firmy,Motocykle,CF Moto,Allroad,2021,1 km,570 cm3,44 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,Tak,Nowe,33990,,,,,,,24 miesięcy,,,,,,,,,,,
5227,Firmy,Motocykle,KXD,Inny,2021,1 km,110 cm3,9 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Krosowy,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,3299,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
5228,Osoby prywatnej,Motocykle,Triumph,Sprint,2010,38 000 km,1 050 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,Francja,,Używane,13500,,,Metalik,,,,,,,,,,,,,,,
