,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
699,Osoby prywatnej,Motocykle,Harley-Davidson,FXSB Breakout,2017,8 693 km,1 745 cm3,87 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,Polska,Tak,Używane,99900,WND8M13,Tak,Perłowy,,Tak,Tak,,,,,,,,,,,,
700,Firmy,Motocykle,X-Moto,Inny,2021,1 km,,,,,Benzyna,,Krosowy,Inny kolor,,,,,Tak,Nowe,6999,,,,,,,,,,,,,,,,,,
701,Firmy,Motocykle,Ducati,Inny,2021,1 km,955 cm3,155 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Sportowy,Biały,Tak,Tak,Tak,,Tak,Nowe,92900,,,Matowy,,,,,,,,,,,,,,,
702,Osoby prywatnej,Motocykle,Hyosung,GT,2015,4 500 km,650 cm3,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,Używane,9900,,,Metalik,,,,,,,,,,,,,,,
703,Osoby prywatnej,Motocykle,Harley-Davidson,Night Train,2003,56 000 km,1 450 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Stany Zjednoczone,,Używane,26600,,,Metalik,,,,,,,,,,,,,,,
704,Firmy,Motocykle,Romet,Inny,2021,1 km,45 cm3,3 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Motorower,Czarny,Tak,Tak,,,Tak,Nowe,5999,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
705,Osoby prywatnej,Motocykle,Honda,S-Wing,2013,44 km,125 cm3,,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,,,,,,Używane,7400,,Tak,Perłowy,,,,,,,,,,,,,,,
706,Firmy,Motocykle,Ducati,Multistrada,2021,1 km,1 153 cm3,170 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,123900,,,Metalik,,,,,,,,,,,,,,,
707,Firmy,Motocykle,Ducati,Scrambler,2021,1 km,803 cm3,73 KM,,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,Tak,Tak,Tak,,Tak,Nowe,46500,,,Metalik,,,,,,,,,,,,,,,
708,Firmy,Motocykle,Ducati,Scrambler,2021,1 km,1 079 cm3,86 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,Polska,Tak,Nowe,72900,,,Metalik,,,,,,,,,,,,,,,
709,Osoby prywatnej,Motocykle,Kawasaki,ZXR,2003,58 000 km,636 cm3,116 KM,,Czterosuwowy,Benzyna,Manualna,Sportowy,Czerwony,,,,Wielka Brytania,,Używane,6990,DWR FT31,Tak,,07/03/2003,,,,,,,,,,,,,,
710,Firmy,Motocykle,Aprilia,Caponord,2017,3 892 km,1 200 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,,Tak,,Szwajcaria,Tak,Używane,45900,,,Matowy,26/06/2017,Tak,Tak,,,,,,,,,,,,
711,Firmy,Motocykle,KTM,Duke,2016,4 141 km,690 cm3,68 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,Tak,,Szwajcaria,Tak,Używane,24900,,,Matowy,31/03/2016,Tak,Tak,,,,,,,,,,,,
712,Firmy,Motocykle,KTM,Duke,2017,6 534 km,690 cm3,73 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,Tak,,Szwajcaria,Tak,Używane,26900,,,Metalik,17/05/2017,Tak,Tak,,,,,,,,,,,,
713,Firmy,Motocykle,Honda,ST,2003,92 014 km,1 300 cm3,126 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,Tak,Tak,,Szwajcaria,Tak,Używane,24900,,,Metalik,07/03/2003,Tak,Tak,,,,,,,,,,,,
714,Firmy,Motocykle,BMW,K,2009,49 142 km,1 200 cm3,116 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,Tak,,Szwajcaria,Tak,Używane,34000,,,Metalik,02/03/2010,Tak,Tak,,,,,,,,,,,,
715,Firmy,Motocykle,BMW,R,2005,62 131 km,1 200 cm3,110 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,Tak,Tak,,Szwajcaria,Tak,Używane,19900,,,Metalik,20/04/2005,Tak,Tak,,,,,,,,,,,,
716,Firmy,Motocykle,KTM,Duke,2012,26 817 km,690 cm3,68 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,Tak,,Szwajcaria,Tak,Używane,17900,,,Metalik,19/04/2012,Tak,Tak,,,,,,,,,,,,
717,Firmy,Motocykle,Yamaha,XV,1997,39 582 km,125 cm3,10 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czerwony,,Tak,,Szwajcaria,Tak,Używane,12900,,,Metalik,01/06/1997,Tak,Tak,,,,,,,,,,,,
718,Firmy,Motocykle,Suzuki,DL,2021,8 906 km,1 050 cm3,107 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Inny kolor,Tak,Tak,Tak,Szwajcaria,Tak,Używane,58900,,,Metalik,01/07/2021,Tak,Tak,,,,,,,,,,,,
719,Firmy,Motocykle,BMW,F,2009,17 294 km,800 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Inny kolor,,Tak,,Szwajcaria,Tak,Używane,19900,,,Metalik,28/05/2009,Tak,Tak,,,,,,,,,,,,
720,Firmy,Motocykle,BMW,R,2015,30 151 km,1 200 cm3,125 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,Tak,,Szwajcaria,Tak,Używane,53900,,,Metalik,20/07/2015,Tak,Tak,,,,,,,,,,,,
721,Firmy,Motocykle,Inny,Inny,1928,100 km,349 cm3,,Łańcuch,,Benzyna,,Chopper,Brązowy,,Tak,,Szwajcaria,Tak,Używane,89900,,,,01/01/1928,,,,,,,,,,,,,,
722,Firmy,Motocykle,BMW,R,2007,55 322 km,1 200 cm3,109 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,Tak,,Szwajcaria,Tak,Używane,28900,,,Metalik,17/04/2007,Tak,Tak,,,,,,,,,,,,
723,Firmy,Motocykle,BMW,R,2002,172 151 km,1 150 cm3,95 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,Tak,,Szwajcaria,Tak,Używane,13900,,,Metalik,12/04/2002,Tak,Tak,,,,,,,,,,,,
724,Firmy,Motocykle,BMW,R,2016,50 952 km,1 200 cm3,125 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,Tak,Tak,Tak,Szwajcaria,Tak,Używane,59900,,,Metalik,08/07/2016,Tak,Tak,,,,,,,,,,,,
725,Firmy,Motocykle,BMW,F,2015,31 860 km,800 cm3,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Niebieski,Tak,Tak,Tak,Szwajcaria,Tak,Używane,32900,,,Metalik,30/04/2015,Tak,Tak,,,,,,,,,,,,
726,Firmy,Motocykle,BMW,R,2001,118 589 km,1 150 cm3,95 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,,Tak,,Szwajcaria,Tak,Używane,16900,,,Metalik,13/07/2001,Tak,Tak,,,,,,,,,,,,
727,Firmy,Motocykle,Triumph,Tiger,2017,23 421 km,1 050 cm3,126 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,,Tak,,Szwajcaria,Tak,Używane,41900,,,Metalik,28/04/2017,Tak,Tak,,,,,,,,,,,,
728,Firmy,Motocykle,Yamaha,XJ,1999,49 821 km,600 cm3,50 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Zielony,,Tak,,Szwajcaria,Tak,Używane,5900,,,Metalik,31/03/1999,Tak,Tak,,,,,,,,,,,,
729,Firmy,Motocykle,BMW,F,2001,57 188 km,650 cm3,50 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Niebieski,,Tak,,Szwajcaria,Tak,Używane,9900,,,Metalik,30/03/2001,Tak,Tak,,,,,,,,,,,,
730,Firmy,Motocykle,BMW,R,2016,35 495 km,1 200 cm3,125 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,Tak,Tak,Szwajcaria,Tak,Używane,68900,,,Metalik,27/09/2016,Tak,Tak,,,,,,,,,,,,
731,Firmy,Motocykle,BMW,R,2002,100 799 km,1 150 cm3,95 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,Tak,Tak,,Szwajcaria,Tak,Używane,11499,,,Metalik,14/06/2002,Tak,Tak,,,,,,,,,,,,
732,Firmy,Motocykle,BMW,R,2018,19 782 km,1 250 cm3,136 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,Tak,Tak,Szwajcaria,Tak,Używane,79900,,,Metalik,12/10/2018,Tak,Tak,,,,,,,,,,,,
733,Firmy,Motocykle,BMW,G,2020,637 km,310 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,Szwajcaria,,Używane,22900,,,Metalik,25/05/2020,Tak,Tak,,,,,,,,,,,,
734,Firmy,Motocykle,Harley-Davidson,Heritage,1995,41 000 km,1 340 cm3,56 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Szary,,,,,Tak,Używane,47000,,,Metalik,,,Tak,,Tak,,,,,,,,,,
735,Osoby prywatnej,Motocykle,Keeway,Inny,2017,1 052 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Biały,,,,,Tak,Używane,6500,RRB7FJ6,Tak,Perłowy,29/05/2017,Tak,Tak,,,,,,,,,,,,
736,Firmy,Motocykle,Yamaha,TDM,1991,50 000 km,850 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,,Tak,Używane,6900,,,Metalik,,,,,,Tak,,,,,,,,,
737,Firmy,Motocykle,Junak,Inny,2021,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,5599,,,,,,,,,,,,,,,,,,
738,Firmy,Motocykle,Junak,Inny,2021,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,Tak,Tak,,Tak,Nowe,5589,,,,,,,,,,,,,,,,,,
739,Firmy,Motocykle,BMW,R,2021,6 100 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Używane,99900,,Tak,Metalik,,Tak,Tak,,,,,,,,,,,,
740,Firmy,Motocykle,BMW,G,2022,1 km,313 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Niebieski,Tak,Tak,Tak,,Tak,Nowe,27000,,,,,,,,,,,,,,,,,,
741,Firmy,Motocykle,BMW,GS,2022,1 km,853 cm3,95 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Enduro,Niebieski,Tak,Tak,Tak,,Tak,Nowe,63900,,,Metalik,,,,,,,,,,,,,,,
742,Firmy,Motocykle,BMW,R,1981,111 042 km,979 cm3,70 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,Tak,Używane,22500,,Tak,,,Tak,,,,,,,,,,,,,
743,Firmy,Motocykle,BMW,R,2021,1 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Nowe,145900,,,Metalik,,,,,,,,,,,,,,,
744,Firmy,Motocykle,BMW,G,2022,1 km,313 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,,Tak,Nowe,23600,,,,,,,,,,,,,,,,,,
745,Firmy,Motocykle,BMW,R,2021,6 100 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,,,Tak,Używane,93900,,Tak,Metalik,,Tak,Tak,,,,,,,,,,,,
746,Firmy,Motocykle,BMW,R,2021,1 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Nowe,139900,,,Metalik,,,,,,,,,,,,,,,
747,Firmy,Motocykle,BMW,R,2021,1 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Nowe,100900,,,Metalik,,,,,,,,,,,,,,,
748,Firmy,Motocykle,Keeway,Superlight,2022,1 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,Tak,,,Tak,Nowe,11300,,,Matowy,,,,24 miesięcy,,,,,,,,,,,
749,Firmy,Motocykle,Niu,N,2022,1 km,,3 KM,Pas napędowy,Elektryczny,Elektryczny,Automatyczna,Skuter,Niebieski,,,,Inny,Tak,Używane,10990,,,,,,,24 miesięcy,,,,,,,,,,,
750,Firmy,Motocykle,Inny,Inny,2021,1 km,249 cm3,28 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Czerwony,Tak,Tak,Tak,,Tak,Nowe,8499,,,,,,,,,,,,,,,,,,
751,Firmy,Motocykle,BMW,R,2021,2 km,1 800 cm3,90 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,Tak,,Polska,Tak,Nowe,159950,,,Metalik,,,,60 miesięcy,,,,,,,,,,,
752,Firmy,Motocykle,Harley-Davidson,Dyna Low,2003,17 545 km,1 449 cm3,68 KM,,,Benzyna,Manualna,Chopper,Żółty,,,,,,Używane,35000,,,,,,,,,Tak,,,,,,,,,
753,Firmy,Motocykle,BMW,R,2021,1 km,1 802 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Nowe,109900,,,Metalik,,,,,,,,,,109 900 PLN,,,,,
754,Firmy,Motocykle,Loncin,Inny,2021,1 km,150 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Zielony,Tak,Tak,,Polska,Tak,Nowe,8499,,,,,,,12 miesięcy,,,,,,,,,,,
755,Firmy,Motocykle,Inny,Inny,2021,1 km,570 cm3,44 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,,Tak,Nowe,44990,,,Matowy,,,,24 miesięcy,,,,,,,,,,,
756,Osoby prywatnej,Motocykle,Suzuki,TU,2018,495 km,250 cm3,24 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Stany Zjednoczone,Tak,Używane,16900,,,Perłowy,,,Tak,,,,,,,,,,,,
757,Firmy,Motocykle,Inny,Inny,2021,1 km,570 cm3,44 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Biały,Tak,Tak,Tak,Stany Zjednoczone,Tak,Nowe,41990,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
758,Firmy,Motocykle,Barton,Inny,2020,1 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Quad,Zielony,,Tak,,,Tak,Nowe,5349,,,Metalik,,,,,,,,,,,,,,,
759,Firmy,Motocykle,Hyosung,GV,2009,24 305 km,249 cm3,24 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Niemcy,,Używane,7900,,,Metalik,05/05/2009,,,,,Tak,,,,,,,,,
760,Firmy,Motocykle,Inny,Inny,2021,1 km,125 cm3,14 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Quad,Zielony,Tak,Tak,,,Tak,Nowe,3899,,,,,,,24 miesięcy,,,,,,,,,,,
761,Firmy,Motocykle,Inny,Inny,2021,1 km,70 cm3,5 KM,Łańcuch,Czterosuwowy,Benzyna,,Quad,Biały,Tak,Tak,,,,Używane,4799,,,,,,,24 miesięcy,,,,,,,,,,,
762,Firmy,Motocykle,Inny,Inny,2021,1 km,160 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Inny kolor,,Tak,Tak,,Tak,Nowe,7399,,,,,,,24 miesięcy,,,,,,,,,,,
763,Firmy,Motocykle,Inny,Inny,2021,1 km,250 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,8999,,,,,,Tak,24 miesięcy,,Tak,,,,,,,,,
764,Firmy,Motocykle,Inny,Inny,2022,1 km,250 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Niebieski,Tak,Tak,,,Tak,Nowe,7999,,,,,,,,,,,,,,,,,,
765,Osoby prywatnej,Motocykle,BMW,GS,2020,49 000 km,1 254 cm3,,Wał kardana,,Benzyna,,Turystyczny,Czarny,,Tak,,Polska,Tak,Używane,73500,,Tak,,01/04/2020,Tak,Tak,,,,01/06/2022,,,,,,,,
766,Firmy,Motocykle,Keeway,Superlight,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,Tak,Tak,Tak,,Tak,Nowe,11990,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
767,Firmy,Motocykle,BMW,R,2022,1 km,1 254 cm3,136 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,87400,,,Metalik,,,,,,,,,,,,,,,
768,Osoby prywatnej,Motocykle,Yamaha,Road Star,2008,33 000 km,1 700 cm3,84 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Biały,,,,Stany Zjednoczone,,Używane,27900,ELA2345,Tak,Perłowy,01/01/2006,,,,,,,,,,,,,,
769,Firmy,Motocykle,Junak,Inny,2020,1 km,124 cm3,12 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,Tak,Nowe,12999,,,,,,,,,Tak,,,,,,,,,
770,Firmy,Motocykle,Romet,Inny,2017,1 km,125 cm3,9 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,Tak,,Tak,Używane,7499,,,Metalik,,,,,,,,,,,,,,,
771,Firmy,Motocykle,KXD,Inny,2022,1 km,50 cm3,3 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Krosowy,Czerwony,Tak,,,,Tak,Nowe,1499,,,,,,Tak,6 miesięcy,,,,,,,,,,,
772,Firmy,Motocykle,Polaris,Scrambler,2021,1 km,957 cm3,90 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Niebieski,Tak,Tak,,Polska,Tak,Nowe,86999,,,Perłowy,,,,24 miesięcy,,,,,,,,,,,
773,Firmy,Motocykle,BMW,S,2022,1 km,999 cm3,207 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,85490,,,Metalik,,,,,,,,,,,,,,,
774,Firmy,Motocykle,Yamaha,Midnight Star,2013,29 000 km,942 cm3,54 KM,Pas napędowy,,Benzyna,,Chopper,Biały,,,,Włochy,,Używane,31500,,,,13/03/2013,,,,,Tak,,,,,,,,,
775,Firmy,Motocykle,Honda,Varadero,2004,58 704 km,1 000 cm3,94 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,Francja,Tak,Używane,17499,,,Metalik,12/07/2004,Tak,,,,Tak,,,,,,,,,
776,Firmy,Motocykle,Yamaha,MT,2016,28 974 km,700 cm3,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,Tak,,Szwajcaria,Tak,Używane,31900,,,Metalik,09/08/2016,Tak,Tak,,,,,,,,,,,,
777,Firmy,Motocykle,BMW,R,2022,1 km,1 254 cm3,136 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Enduro,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,82700,,,Metalik,,,,,,,,,,,,,,,
778,Osoby prywatnej,Motocykle,Honda,VT,2005,39 350 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Złoty,,,,,Tak,Używane,13500,RMI26r6,Tak,Metalik,29/12/2005,,,,,,,,,,,,,,
779,Firmy,Motocykle,Yamaha,BT,2002,58 844 km,1 100 cm3,65 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,,,Niemcy,Tak,Używane,13499,POLSKA,Tak,Metalik,11/07/2002,Tak,,,,Tak,,,,,,,,,
780,Firmy,Motocykle,Junak,M,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,,,Tak,Nowe,18499,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
781,Firmy,Motocykle,Junak,Inny,2020,1 km,125 cm3,9 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,10999,,,Matowy,,,,,,,,,,,,,,,
782,Firmy,Motocykle,Junak,M,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,Tak,,Tak,Nowe,15950,,,Metalik,,,,24 miesięcy,,,,,,,,12 000 km,,,
783,Firmy,Motocykle,Inny,Inny,2022,1 km,140 cm3,18 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Niebieski,Tak,,,Inny,Tak,Nowe,5999,,,Matowy,,,Tak,24 miesięcy,,,,,,,,,,,
784,Firmy,Motocykle,Inny,Inny,2022,1 km,125 cm3,14 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Niebieski,Tak,,,Inny,Tak,Nowe,3599,,,,,,Tak,24 miesięcy,,,,,,,,,,,
785,Osoby prywatnej,Motocykle,Honda,VFR,2002,27 900 km,1 200 cm3,112 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Żółty,,,,Niemcy,Tak,Używane,15900,,,Metalik,23/04/2001,,,,,,,,,,,,,,
786,Firmy,Motocykle,Kawasaki,Versys 650,2021,1 km,649 cm3,69 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Biały,Tak,Tak,,,Tak,Używane,39800,,Tak,,,,Tak,,,,,,,,,,,,
787,Firmy,Motocykle,Suzuki,SV,2004,30 000 km,650 cm3,72 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,Tak,,,Niemcy,,Używane,8700,,,Perłowy,10/10/2004,,,,,Tak,,,,,,,,,
788,Firmy,Motocykle,Kawasaki,ER,2013,35 000 km,650 cm3,72 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,,,,,Używane,14600,,,Metalik,05/05/2013,,,,,,,,,,,,,,
789,Firmy,Motocykle,Romet,Inny,2017,1 km,124 cm3,9 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Szary,Tak,Tak,,Polska,Tak,Używane,7499,,,Metalik,,,,,,,,,,,,,,,
790,Firmy,Motocykle,Keeway,Inny,2020,1 km,125 cm3,13 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Zielony,Tak,Tak,,,Tak,Nowe,10989,,,Metalik,,,,,,,,,,,,,,,
791,Firmy,Motocykle,Suzuki,GSX-F - Katana,1991,63 763 km,1 128 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,Tak,,,Niemcy,Tak,Używane,5299,POLSKA,Tak,,06/08/1991,Tak,,,,Tak,,,,,,,,,
792,Firmy,Motocykle,CF Moto,Inny,2022,1 km,649 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Biały,Tak,Tak,Tak,,Tak,Nowe,27900,,,,,,,,,,,,,,,,,,
793,Firmy,Motocykle,KTM,Inny,2021,1 km,1 301 cm3,160 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,84400,,,,,,,,,,,,,,,,,,
794,Firmy,Motocykle,Kymco,Agility,2020,1 km,125 cm3,9 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,10600,,,,,,,,,,,,,,,,,,
795,Firmy,Motocykle,Junak,Inny,2020,1 km,124 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,Tak,Tak,Tak,Polska,Tak,Używane,8599,,,,,,,,,,,,,,,,,,
796,Osoby prywatnej,Motocykle,Kawasaki,Vulcan,2016,11 500 km,650 cm3,61 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Zielony,,,,Polska,Tak,Używane,27000,,Tak,Perłowy,26/07/2016,Tak,Tak,,,,,,,,,,,,
797,Firmy,Motocykle,Kawasaki,Z,2008,29 604 km,1 000 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,Tak,,,Niemcy,Tak,Używane,18999,,,Metalik,04/06/2008,Tak,,,,Tak,,,,,,,,,
798,Osoby prywatnej,Motocykle,Honda,Inny,2016,4 300 km,700 cm3,60 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Zielony,,,,Stany Zjednoczone,,Używane,38000,PMI 21707,Tak,Matowy,01/01/2016,,Tak,,,,,,,,,,,,
799,Osoby prywatnej,Motocykle,Kawasaki,ZZR,2007,58 000 km,1 400 cm3,200 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,Niemcy,Tak,Używane,21650,,,Metalik,,Tak,,,,Tak,,,,,,,,,
800,Firmy,Motocykle,Suzuki,SV,2003,35 680 km,1 000 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Srebrny,Tak,,,,Tak,Używane,8900,,Tak,Metalik,,Tak,,,,Tak,,,,,,,,,
801,Firmy,Motocykle,CF Moto,Allroad,2021,1 km,570 cm3,,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Niebieski,,Tak,,,,Używane,44900,,,,,,,24 miesięcy,,,,,,,,,,,
802,Firmy,Motocykle,Junak,M,2021,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Tak,Nowe,11499,,,Matowy,,,,,,,,,,,,,,,
803,Osoby prywatnej,Motocykle,Suzuki,XF,2000,47 100 km,644 cm3,48 KM,,Dwusuwowy,Benzyna,,Enduro,Czerwony,,,,Włochy,Tak,Używane,7350,,Tak,Metalik,12/05/2000,,,,,,,,,,,,,,
